t,x,y,yaw
119.840,29.753778622398627,0.19769719604911173,1.572996206096074
119.872,29.753780901215254,0.1976964653972966,1.572984871040382
119.904,29.753791979408017,0.19769592419422494,1.572972141596144
119.936,29.753810819604034,0.19769560178770343,1.572958673594551
119.968,29.75383609125199,0.19769559275963963,1.5729473366432134
120.000,29.753866420060437,0.19769597282982515,1.572945513077054
120.032,29.753831803645923,0.19769786312989104,1.572989762271114
120.064,29.753807954953913,0.19769753341840043,1.5729957366262242
120.096,29.753797780861326,0.19769685425936612,1.5729905322816315
120.128,29.753802232626306,0.19769616756272673,1.572980299988164
120.160,29.753813396759792,0.1976957082346138,1.5729696058455815
120.192,29.75383211234132,0.19769538484385427,1.572956573768453
120.224,29.753857208135315,0.19769534663797975,1.5729447959713845
120.256,29.753887346435434,0.19769568168481294,1.5729409819170816
120.288,29.75385303125133,0.19769764034770834,1.572986092933087
120.320,29.753829260739806,0.19769737726756975,1.572993339801615
120.352,29.753818978995202,0.19769673754921077,1.5729891608888178
120.384,29.75382027049067,0.19769607394459568,1.5729802078959991
120.416,29.75383207141216,0.19769549395340877,1.5729676994187674
120.448,29.75385138018779,0.19769514542071867,1.572954422523603
120.480,29.75387688619871,0.19769507619572352,1.572942170724002
120.512,29.753907303252113,0.19769536576568655,1.572936369446149
120.544,29.75384426856108,0.19769746350071313,1.572980243067351
120.576,29.753825529605816,0.19769630235979774,1.572970828170085
120.608,29.75382073611929,0.19769573068431914,1.5729680793075862
120.640,29.753826868829485,0.1976951997026219,1.5729629051406169
120.672,29.75384226622086,0.1976947390545626,1.5729539750365018
120.704,29.753864311083806,0.19769446472371127,1.572943099660555
120.736,29.753891907771187,0.19769443767969178,1.5729321609102995
120.768,29.75392391654158,0.19769474232552545,1.5729257060654624
120.800,29.753959195205752,0.19769540903426636,1.572930221405229
120.832,29.75393139209406,0.1976972092746393,1.572970188886222
120.864,29.753913275756435,0.19769689643389307,1.5729729489033428
120.896,29.753907576738474,0.19769629490862428,1.5729655693084235
120.928,29.753912958590774,0.19769573757276382,1.572954502443063
120.960,29.753926244241878,0.19769536458452516,1.5729423740645123
120.992,29.753946294207672,0.1976952242679565,1.57293052387436
121.024,29.75397187190161,0.19769539991250928,1.5729225320632207
121.056,29.754001717750043,0.1976959358966065,1.5729254942749586
121.088,29.753971010886644,0.19769765306755835,1.5729646657109453
121.120,29.75395024662014,0.19769730236284175,1.5729680153823156
121.152,29.753942104812694,0.19769665754329507,1.5729614385467232
121.184,29.753945652779382,0.1976960476067923,1.5729510495499188
121.216,29.753957092463406,0.1976956228249278,1.5729395682589855
121.248,29.75397545864822,0.1976954139735151,1.5729278437279033
121.280,29.75399954260886,0.19769550656397802,1.5729187185535687
121.312,29.754028078695573,0.19769596190058666,1.5729200088611612
121.344,29.753966391947053,0.1976977549168685,1.5729576366040559
121.376,29.75395002883759,0.19769641136380614,1.5729436924611166
121.408,29.7539469069191,0.1976957935061181,1.5729385834585068
121.440,29.753955363167233,0.19769528978127995,1.5729320878726714
121.472,29.75396990448892,0.19769497954593307,1.572924570155317
121.504,29.75399055801917,0.19769483002156543,1.572915294271496
121.536,29.754016337327304,0.19769495382022725,1.5729074489154569
121.568,29.75404611331785,0.1976954237095744,1.5729082279098419
121.600,29.753985427824034,0.19769733638389142,1.572948029529792
121.632,29.7539699358577,0.19769608763474172,1.572936167234232
121.664,29.753967323369498,0.1976955432361093,1.57293293039529
121.696,29.753972845303185,0.19769509479172157,1.572928594359913
121.728,29.753988399089426,0.19769467811916205,1.5729196353786876
121.760,29.754009912199006,0.19769452697888673,1.5729105635970977
121.792,29.754036270334847,0.1976946424610226,1.57290265494104
121.824,29.75406641809014,0.19769508995937646,1.5729018809205435
121.856,29.754006109312456,0.19769708427117116,1.5729427961912243
121.888,29.75399101684677,0.1976959002038691,1.5729321733403736
121.920,29.753988543660896,0.1976954057852414,1.572930153318966
121.952,29.753995616100752,0.1976949740934191,1.572926310046864
121.984,29.75401099351379,0.19769461596187232,1.5729189441343971
122.016,29.75403217279972,0.19769445036829356,1.5729101024335777
122.048,29.754058188695268,0.19769452679832838,1.572901663603068
122.080,29.754088017487923,0.19769492037358485,1.5728988400671822
122.112,29.7540275791087,0.19769696518649454,1.5729403209152915
122.144,29.75401252063893,0.1976958208840554,1.572930479182894
122.176,29.75400992108794,0.19769535695931106,1.5729293065488779
122.208,29.75401695819626,0.19769493128353782,1.5729260043988769
122.240,29.75403234592283,0.19769456584902648,1.572918999063738
122.272,29.754053421412117,0.1976943754257694,1.5729101350891477
122.304,29.754079296884015,0.1976944090363128,1.5729011153765746
122.336,29.75410898370561,0.19769474437165122,1.5728961723683377
122.368,29.754048536869018,0.1976968385509644,1.572938222084683
122.400,29.75400333156202,0.1976957946039044,1.572927009082439
122.432,29.75400552557156,0.19769436995990494,1.5729084650752292
122.464,29.754018032762154,0.19769396653268898,1.572906035829523
122.496,29.75403815247433,0.19769370418523521,1.5729024427050877
122.528,29.754062850945125,0.1976936012529995,1.5728965257592078
122.560,29.754091542145368,0.1976936907602087,1.5728893306894738
122.592,29.754123417526447,0.19769405340790733,1.572884101148631
122.624,29.754157573693345,0.1976947402456073,1.5728890248464211
122.656,29.754112628026796,0.19767670521728067,1.5727881487767845
122.688,29.754103630730743,0.19767853053727238,1.5727845184960856
122.720,29.754104506061367,0.1976814964516815,1.5728033592095694
122.752,29.754114979900404,0.19768390680226297,1.5728179139753884
122.784,29.754130546247183,0.19768593695592807,1.5728277315063737
122.816,29.75415117096745,0.19768768041217918,1.5728331720406679
122.848,29.754176042894837,0.19768932463242755,1.5728379321634447
122.880,29.75420419263888,0.1976909997186967,1.5728501298541346
122.912,29.754155248722945,0.19767382667891922,1.5727579043907116
122.944,29.75415239202832,0.19765836402806558,1.5726351019808062
122.976,29.75416216675256,0.1976436746699977,1.5725234994353876
123.008,29.754219880484385,0.1976290758318786,1.5724142677660626
123.040,29.754241337275097,0.19761309100467953,1.5723114535723366
123.072,29.754267049642273,0.19759755348414892,1.572194471185809
123.104,29.754299096177753,0.19758146853765005,1.5720720759606774
123.136,29.754245863897125,0.19756583835736963,1.5719793572070955
123.168,29.754196458596525,0.19757220241380044,1.5720030034542487
123.200,29.75416353200741,0.19757734764501533,1.572021891517438
123.232,29.754177755712462,0.19757980592001315,1.5720239876603825
123.264,29.754200540981977,0.19757874587184293,1.5720143502918562
123.296,29.75423167158503,0.19757470234911556,1.5719826285855631
123.328,29.754267258710236,0.19756787777268303,1.5719315393960196
123.360,29.754306703207078,0.1975586315590203,1.5718644223370903
123.392,29.754259580626417,0.19754772423673436,1.5718144517345953
123.424,29.75421455326377,0.19755791168117562,1.5718712091113463
123.456,29.75418446030536,0.1975661978871065,1.5719174728595373
123.488,29.754200651744156,0.1975712520077283,1.5719425102759026
123.520,29.754225359589974,0.19757235732484757,1.5719523086295684
123.552,29.75425711303069,0.1975700939277561,1.57193750524447
123.584,29.754292628379694,0.19756476303975623,1.5719005618975628
123.616,29.754331630911828,0.19755677538205663,1.571845156659793
123.648,29.7542847868731,0.1975462552913304,1.5718013562903952
123.680,29.75423973450958,0.1975568730567393,1.5718617998424251
123.712,29.754209191959294,0.1975656034440599,1.571911720264321
123.744,29.754225062012182,0.1975711152414062,1.5719405933345372
123.776,29.754249481256625,0.19757269630419752,1.5719546196667005
123.808,29.754280955673153,0.19757089013505838,1.5719440646743064
123.840,29.754315815339872,0.19756598549918106,1.5719111037589868
123.872,29.754354070566716,0.19755840088271848,1.5718590692331726
123.904,29.754307193112343,0.19754755182306438,1.5718147998833631
123.936,29.75426199871768,0.1975580268698396,1.5718735266355446
123.968,29.75423102503834,0.1975667582785725,1.5719228239557268
124.000,29.7542466282084,0.19757238485739423,1.5719521489145993
124.032,29.754270724512605,0.19757418021207881,1.5719677249316892
124.064,29.75430246081959,0.19757262789730598,1.571959072919028
124.096,29.75433686097497,0.19756797255662606,1.571928369249596
124.128,29.754374559736732,0.19756065167153983,1.5718782026545715
124.160,29.75441484147705,0.19755156343540575,1.5718182752609626
124.192,29.754360699637974,0.19756090371021948,1.5719055454032833
124.224,29.754316786485738,0.19756893047870738,1.5719559066164237
124.256,29.754288823639477,0.1975740908057213,1.5719796164565398
124.288,29.75430824627748,0.19757626843866138,1.571982449914782
124.320,29.7543757694545,0.1975745731868269,1.571974192956055
124.352,29.754402661437286,0.1975686923842945,1.5719570830634702
124.384,29.754431009189474,0.1975613615023636,1.5719114203795757
124.416,29.754377795042508,0.19754984591915792,1.57186287500289
124.448,29.75433543003587,0.1975432034978874,1.5717976887917249
124.480,29.754300083054382,0.1975542499178531,1.5718507666991142
124.512,29.75427837362375,0.19756286809009765,1.5718956588540578
124.544,29.754302688545195,0.1975679850039629,1.5719187120312512
124.576,29.754374358104783,0.19756875613289093,1.571927518289682
124.608,29.75440482875485,0.19756490638943552,1.5719241373881978
124.640,29.754436123356484,0.19755916807438062,1.571889265432493
124.672,29.754471082613964,0.1975510376096082,1.5718353776253222
124.704,29.754423291795888,0.1975417487812869,1.57179193000284
124.736,29.754377356870076,0.1975529260943339,1.5718522358710105
124.768,29.754345838040887,0.19756179470709126,1.5718998808843923
124.800,29.75432909796345,0.19756722609278948,1.5719229695439154
124.832,29.75435803831855,0.19756927886979336,1.5719236130009302
124.864,29.754395066926325,0.197567218337311,1.571909570015056
124.896,29.754434382884675,0.19756197901452893,1.5718764835227104
124.928,29.754475651341494,0.19755411410289297,1.5718266534733498
124.960,29.75443305159484,0.19754427296913823,1.5717854824269721
124.992,29.754390996474708,0.19755512326162988,1.571846997059665
125.024,29.754362137813533,0.19756383820843093,1.5718966560511927
125.056,29.75434704515963,0.19756924272472517,1.5719224644723855
125.088,29.75437763787285,0.19757135679253254,1.571926098574341
125.120,29.754415745964153,0.19756941687113672,1.571915639391497
125.152,29.754455499489588,0.19756432595284126,1.5718860439772382
125.184,29.754496874798896,0.19755663114490632,1.5718392773793373
125.216,29.754454945636226,0.19754628671451752,1.571797651554355
125.248,29.75441326792626,0.19755689138076016,1.5718578546813151
125.280,29.754384379400456,0.19756550958685962,1.5719071996573581
125.312,29.75436889761737,0.1975709321652752,1.5719336540101099
125.344,29.754399463932067,0.19757314946851098,1.571938542307196
125.376,29.754437868098535,0.19757137477344217,1.5719300212000058
125.408,29.7544773301249,0.1975664608914551,1.5719026826290214
125.440,29.754518287548606,0.19755896409716084,1.5718578570091692
125.472,29.754476613055054,0.1975481420493007,1.5718147695637021
125.504,29.75443504887885,0.19755851458618265,1.571872697085115
